cluster,posts,avg_confidence,avg_engagement,total_engagement,dominant_topic,first_seen,last_seen,keywords
55,166,0.634,76244.5,12656588,Winter Olympics 2026 Milano,2025-09-02,2026-03-01,"https, 2026, office, cve, cve 2026, al, jersey https, trends"
40,160,0.593,52230.5,8356873,Winter Olympics 2026 Milano,2025-08-31,2026-03-01,"olympics, milano, winter olympics, https, olympics https, winter, cortina, rt"
46,145,0.822,34502.0,5002792,Super Bowl LX,2025-09-03,2026-02-19,"bad, bunny, bad bunny, super bowl, halftime, bowl, bowl halftime, super"
58,221,0.431,20256.2,4476626,Super Bowl LX,2025-08-28,2026-02-21,"super, super woman, evil, sir, super clean, super hyped, hyped, woman"
50,126,0.556,30385.9,3828621,Winter Olympics 2026 Milano,2025-08-28,2026-03-01,"2026 https, https, 2026, purim, welcome, return, things, 01"
42,66,0.902,52589.8,3470924,Winter Olympics 2026 Milano,2025-08-30,2026-02-28,"new, https, 2026, rt, 2026 new, winter, new super, super"
57,78,0.782,39861.6,3109205,Super Bowl LX,2025-08-28,2026-02-23,"https, super, super impressive, impressive, soldier https, super obvious, super agent, super soldier"
22,100,0.995,28369.1,2836908,Super Bowl LX,2025-08-28,2026-02-24,"win, won, super bowl, win super, bowl, won super, super, eagles"
59,150,0.497,18308.9,2746342,Super Bowl LX,2025-08-28,2026-02-17,"super bowl, bowl, super, https, mvp, bowl contenders, josh, contenders"
26,47,0.958,54995.0,2584766,Winter Olympics 2026 Milano,2025-08-28,2026-03-01,"march, march 2026, 2026, https, 2026 https, rt, calendar, 14"
7,55,0.882,38678.9,2127340,Super Bowl LX,2025-08-29,2026-02-23,"mario, super mario, mario galaxy, galaxy, super, mario bros, galaxy movie, bros"
5,59,0.995,26338.8,1553991,Super Bowl LX,2025-08-28,2026-03-01,"think, really, super, 2026 really, 2026, don think, think super, https"
41,251,0.891,6038.4,1515627,Winter Olympics 2026 Milano,2025-08-28,2026-02-28,"winter, https, rt, winter https, weather, warm, gaza, cold"
20,35,0.994,37131.2,1299591,Super Bowl LX,2025-09-03,2026-02-16,"pro, pro bowl, bowl, probowlvote, deserved, rb, hall fame, fame"
